epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,4405.62,0.71688,0.38705,1.1151,0.98567,0.97673,0.98344,0.81961,0.70028,0.31748,1.14162,0.000240644,0.000240644,0.000240644
86,4448.78,0.69653,0.3762,1.09567,0.97735,0.98767,0.98607,0.82584,0.65678,0.31116,1.10694,0.000226497,0.000226497,0.000226497
87,4497.06,0.67826,0.36845,1.09242,0.97837,0.98637,0.98487,0.82112,0.66898,0.31024,1.11506,0.000212349,0.000212349,0.000212349
88,4540.07,0.70988,0.38902,1.10828,0.97852,0.98544,0.98666,0.82935,0.65504,0.30093,1.10946,0.000198202,0.000198202,0.000198202
89,4587.59,0.68447,0.36693,1.09047,0.98495,0.98655,0.98678,0.83772,0.64167,0.30856,1.11102,0.000184055,0.000184055,0.000184055
90,4633.94,0.69069,0.36886,1.09294,0.9855,0.97725,0.98724,0.82607,0.67023,0.29915,1.11807,0.000169908,0.000169908,0.000169908
91,4676.86,0.55021,0.24771,1.02882,0.97808,0.98627,0.98542,0.82005,0.69764,0.32064,1.1591,0.000155761,0.000155761,0.000155761
92,4720.76,0.54728,0.24154,1.04,0.97798,0.98629,0.98505,0.81375,0.70398,0.32203,1.14938,0.000141614,0.000141614,0.000141614
93,4763.29,0.52824,0.23733,1.02284,0.97792,0.985,0.98532,0.81744,0.69279,0.3142,1.1311,0.000127467,0.000127467,0.000127467
94,4806.13,0.53133,0.23626,1.02104,0.97343,0.98599,0.98519,0.83679,0.62008,0.30013,1.09096,0.00011332,0.00011332,0.00011332
95,4848.05,0.52334,0.23273,1.00441,0.98338,0.97673,0.98448,0.83063,0.62549,0.3106,1.08556,9.91726e-05,9.91726e-05,9.91726e-05
96,4889.05,0.51946,0.23379,1.01076,0.98639,0.97839,0.98558,0.82267,0.64873,0.29821,1.09267,8.50255e-05,8.50255e-05,8.50255e-05
97,4930.57,0.52068,0.23379,1.01633,0.98428,0.97673,0.9854,0.82773,0.6374,0.29663,1.09051,7.08784e-05,7.08784e-05,7.08784e-05
98,4973.04,0.51771,0.22931,1.00469,0.98456,0.97673,0.98579,0.82825,0.62297,0.29458,1.0825,5.67313e-05,5.67313e-05,5.67313e-05
99,5016.22,0.51623,0.2275,1.00684,0.98531,0.97728,0.98647,0.82622,0.65144,0.29517,1.10227,4.25842e-05,4.25842e-05,4.25842e-05
100,5059.32,0.5043,0.22625,1.00191,0.98503,0.97673,0.98626,0.83061,0.64593,0.2992,1.09696,2.84371e-05,2.84371e-05,2.84371e-05
